"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","data_processing.6","platform_id","contact_name","contact_email","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","genotype:ch1","region:ch1","tissue:ch1"
"GSM7518711","NEIL1-KO contralateral biol rep 2 3h","GSM7518711","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071747","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825338","NONE","NEIL1-KO","contralateral","hippocampus"
"GSM7518712","NEIL1-KO contralateral biol rep 2 6h","GSM7518712","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071746","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825339","NONE","NEIL1-KO","contralateral","hippocampus"
"GSM7518713","NEIL1-KO ipsilateral biol rep 1 3h","GSM7518713","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071745","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825340","NONE","NEIL1-KO","ipsilateral","hippocampus"
"GSM7518714","NEIL1-KO ipsilateral biol rep 1 6h","GSM7518714","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071744","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825341","NONE","NEIL1-KO","ipsilateral","hippocampus"
"GSM7518715","NEIL1-KO ipsilateral biol rep 2 3h","GSM7518715","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071743","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825342","NONE","NEIL1-KO","ipsilateral","hippocampus"
"GSM7518716","NEIL1-KO ipsilateral biol rep 2 6h","GSM7518716","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071742","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825343","NONE","NEIL1-KO","ipsilateral","hippocampus"
"GSM7518717","NEIL2-KO contralateral biol rep 1 3h","GSM7518717","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071741","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825344","NONE","NEIL1-KO","contralateral","hippocampus"
"GSM7518718","NEIL2-KO contralateral biol rep 1 6h","GSM7518718","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071740","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825345","NONE","NEIL1-KO","contralateral","hippocampus"
"GSM7518719","NEIL2-KO contralateral biol rep 2 3h","GSM7518719","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071739","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825346","NONE","NEIL1-KO","contralateral","hippocampus"
"GSM7518720","NEIL2-KO contralateral biol rep 2 6h","GSM7518720","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071738","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825347","NONE","NEIL1-KO","contralateral","hippocampus"
"GSM7518721","NEIL2-KO ipsilateral biol rep 1 3h","GSM7518721","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071737","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825348","NONE","NEIL1-KO","ipsilateral","hippocampus"
"GSM7518722","NEIL2-KO ipsilateral biol rep 1 6h","GSM7518722","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071736","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825349","NONE","NEIL1-KO","ipsilateral","hippocampus"
"GSM7518723","NEIL2-KO ipsilateral biol rep 2 3h","GSM7518723","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071735","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825350","NONE","NEIL1-KO","ipsilateral","hippocampus"
"GSM7518724","NEIL2-KO ipsilateral biol rep 2 6h","GSM7518724","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071734","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825351","NONE","NEIL1-KO","ipsilateral","hippocampus"
